6:1	בני|HNcmpc|H1121|SON  לוי|HNp|H3878|  גרשון|HNp|H1648|  קהת|HNp|H6955|  ומררי|HC/Np|H4847|
6:23	אלקנה|HNp|H511|  בנו|HNcmsc/Sp3ms|H1121|SON  ואביסף|HC/Np|H43|  בנו|HNcmsc/Sp3ms|H1121|SON  ואסיר|HC/Np|H617|  בנו|HNcmsc/Sp3ms|H1121|SON
6:24	תחת|HR|H8480|  בנו|HNcmsc/Sp3ms|H1121|SON  אוריאל|HNp|H222|  בנו|HNcmsc/Sp3ms|H1121|SON  עזיה|HNp|H5818|  בנו|HNcmsc/Sp3ms|H1121|SON  ושאול|HC/Np|H7586|  בנו|HNcmsc/Sp3ms|H1121|SON
6:25	ובני|HC/Ncmpc|H1121|SON  אלקנה|HNp|H511|  עמשי|HNp|H6022|  ואחימות|HC/Np|H287|
6:26	אלקנה|HNp|H511|  אלקנה|HNp|H511|  צופי|HNp|H6689|  בנו|HNcmsc/Sp3ms|H1121|SON  ונחת|HC/Np|H5184|  בנו|HNcmsc/Sp3ms|H1121|SON
6:27	אליאב|HNp|H446|  בנו|HNcmsc/Sp3ms|H1121|SON  ירחם|HNp|H3395|  בנו|HNcmsc/Sp3ms|H1121|SON  אלקנה|HNp|H511|  בנו|HNcmsc/Sp3ms|H1121|SON
6:28	ובני|HC/Ncmpc|H1121|SON  שמואל|HNp|H8050|  הבכר|HTd/Ncmsa|H1060|FIRSTBORN  ושני|HNp|H2059|  ואביה|HC/Np|H29|
6:29	בני|HNcmpc|H1121|SON  מררי|HNp|H4847|  מחלי|HNp|H4249|  לבני|HNp|H3845|  בנו|HNcmsc/Sp3ms|H1121|SON  שמעי|HNp|H8096|  בנו|HNcmsc/Sp3ms|H1121|SON  עזה|HNp|H5798|  בנו|HNcmsc/Sp3ms|H1121|SON
6:30	שמעא|HNp|H8092|  בנו|HNcmsc/Sp3ms|H1121|SON  חגיה|HNp|H2293|  בנו|HNcmsc/Sp3ms|H1121|SON  עשיה|HNp|H6222|  בנו|HNcmsc/Sp3ms|H1121|SON
6:31	ואלה|HC/Pdxcp|H428|THESE  אשר|HTr|H834|WHICH  העמיד|HVhp3ms|H5975|STAND (V)  דויד|HNp|H1732|  על|HR|H5921|UPON  ידי|HNcbdc|H3027|HAND  שיר|HNcbsa|H7892|SONG  בית|HNcmsc|H1004|LODGE (V)  יהוה|HNp|H3068|  ממנוח|HR/Ncbsc|H4494|OASIS  הארון|HTd/Ncbsa|H727|BOX
6:32	ויהיו|HC/Vqw3mp|H1961|EXIST (V)  משרתים|HVprmpa|H8334|MINISTER (V)  לפני|HR/Ncbpc|H6440|FACE  משכן|HNcmsc|H4908|DWELLING  אהל|HNcmsc|H168|TENT  מועד|HNcmsa|H4150|APPOINTED  בשיר|HRd/Ncbsa|H7892|SONG  עד|HR|H5704|UNTIL  בנות|HVqc|H1129|BUILD (V)  שלמה|HNp|H8010|  את|HTo|H853|AT  בית|HNcmsc|H1004|LODGE (V)  יהוה|HNp|H3068|  בירושלם|HR/Np|H3389|  ויעמדו|HC/Vqw3mp|H5975|STAND (V)  כמשפטם|HR/Ncmsc/Sp3mp|H4941|DECISION  על|HR|H5921|UPON  עבודתם|HNcfsc/Sp3mp|H5656|SERVICE
6:33	ואלה|HC/Pdxcp|H428|THESE  העמדים|HTd/Vqrmpa|H5975|STAND (V)  ובניהם|HC/Ncmpc/Sp3mp|H1121|SON  מבני|HR/Ncmpc|H1121|SON  הקהתי|HTd/Ngmsa|H6956|  הימן|HNp|H1968|  המשורר|HTd/Vormsa|H7891|SING (V)  בן|HNcmsc|H1121|SON  יואל|HNp|H3100|  בן|HNcmsc|H1121|SON  שמואל|HNp|H8050|
6:34	בן|HNcmsc|H1121|SON  אלקנה|HNp|H511|  בן|HNcmsc|H1121|SON  ירחם|HNp|H3395|  בן|HNcmsc|H1121|SON  אליאל|HNp|H447|  בן|HNcmsc|H1121|SON  תוח|HNp|H8430|
6:35	בן|HNcmsc|H1121|SON  בן|HNcmsc|H1121|SON  אלקנה|HNp|H511|  בן|HNcmsc|H1121|SON  מחת|HNp|H4287|  בן|HNcmsc|H1121|SON  עמשי|HNp|H6022|
6:36	בן|HNcmsc|H1121|SON  אלקנה|HNp|H511|  בן|HNcmsc|H1121|SON  יואל|HNp|H3100|  בן|HNcmsc|H1121|SON  עזריה|HNp|H5838|  בן|HNcmsc|H1121|SON  צפניה|HNp|H6846|
