## 18:1
20	כָּל	H3605	HNcmsc	ALL
21	הַשָּׂרִ֖ים	H8269	HTd/Ncmpa	NOBLE
22	עַל	H5921	HR	UPON
23	דְּבַ֥ר	H1697	HNcmsc	WORD
24	אַבְשָׁלֽוֹם	H53	HNp	

## 18:6
01	וַיֵּצֵ֥א	H3318	HC/Vqw3ms	GO OUT (V)
02	הָעָ֛ם	H5971	HTd/Ncmsa	PEOPLE
03	הַשָּׂדֶ֖ה	H7704	HTd/Ncmsa	FIELD
04	לִקְרַ֣את	H7125	HR/Vqc	MEET (V)
05	יִשְׂרָאֵ֑ל	H3478	HNp	
06	וַתְּהִ֥י	H1961	HC/Vqw3fs	EXIST (V)
07	הַמִּלְחָמָ֖ה	H4421	HTd/Ncfsa	BATTLE
08	בְּיַ֥עַר	H3293	HR/Ncmsc	FOREST
09	אֶפְרָֽיִם	H669	HNp	

## 18:7
01	וַיִּנָּ֤גְפוּ	H5062	HC/VNw3mp	SMITE (V)
02	שָׁם֙	H8033	HD	THERE
03	עַ֣ם	H5971	HNcmsc	PEOPLE
04	יִשְׂרָאֵ֔ל	H3478	HNp	
05	לִפְנֵ֖י	H6440	HR/Ncbpc	FACE
06	עַבְדֵ֣י	H5650	HNcmpc	SERVANT
07	דָוִ֑ד	H1732	HNp	
08	וַתְּהִי	H1961	HC/Vqw3fs	EXIST (V)
09	שָׁ֞ם	H8033	HD	THERE
10	הַמַּגֵּפָ֧ה	H4046	HTd/Ncfsa	PESTILENCE
11	גְדוֹלָ֛ה	H1419	HAafsa	GREAT
12	בַּיּ֥וֹם	H3117	HRd/Ncmsa	DAY
13	הַה֖וּא	H1931	HTd/Pp3ms	SHE
14	עֶשְׂרִ֥ים	H6242	HAcbpa	TEN
15	אָֽלֶף	H505	HAcbsa	THOUSAND

## 18:8
01	וַתְּהִי	H1961	HC/Vqw3fs	EXIST (V)
02	שָׁ֧ם	H8033	HD	THERE
03	הַמִּלְחָמָ֛ה	H4421	HTd/Ncfsa	BATTLE
04	עַל	H5921	HR	UPON
05	פְּנֵ֣י	H6440	HNcbpc	FACE
06	כָל	H3605	HNcmsc	ALL
07	הָאָ֑רֶץ	H776	HTd/Ncbsa	LAND
08	וַיֶּ֤רֶב	H7235	HC/Vhw3ms	INCREASE (V)
09	הַיַּ֨עַר֙	H3293	HTd/Ncmsa	FOREST
10	לֶאֱכֹ֣ל	H398	HR/Vqc	EAT (V)
11	בָּעָ֔ם	H5971	HRd/Ncmsa	PEOPLE
12	מֵאֲשֶׁ֥ר	H834	HR/Tr	WHICH
13	אָכְלָ֛ה	H398	HVqp3fs	EAT (V)
14	הַחֶ֖רֶב	H2719	HTd/Ncfsa	SWORD
15	בַּיּ֥וֹם	H3117	HRd/Ncmsa	DAY
16	הַהֽוּא	H1931	HTd/Pp3ms	SHE

## 18:9
01	וַיִּקָּרֵא֙	H7122	HC/VNw3ms	MEET (V)
02	אַבְשָׁל֔וֹם	H53	HNp	
03	לִפְנֵ֖י	H6440	HR/Ncbpc	FACE
04	עַבְדֵ֣י	H5650	HNcmpc	SERVANT
05	דָוִ֑ד	H1732	HNp	
06	וְאַבְשָׁל֞וֹם	H53	HC/Np	
07	רֹכֵ֣ב	H7392	HVqrmsa	RIDE (V)
08	עַל	H5921	HR	UPON
09	הַפֶּ֗רֶד	H6505	HTd/Ncmsa	MULE
10	וַיָּבֹ֣א	H935	HC/Vqw3ms	COME (V)
11	הַפֶּ֡רֶד	H6505	HTd/Ncmsa	MULE
12	תַּ֣חַת	H8478	HR	UNDER
13	שׂוֹבֶךְ֩	H7730	HNcmsc	BOUGHS
14	הָאֵלָ֨ה	H424	HTd/Ncfsa	OAK
15	הַגְּדוֹלָ֜ה	H1419	HTd/Aafsa	GREAT
16	וַיֶּחֱזַ֧ק	H2388	HC/Vqw3ms	SEIZE (V)
17	רֹאשׁ֣וֹ	H7218	HNcmsc/Sp3ms	HEAD
18	בָאֵלָ֗ה	H424	HRd/Ncfsa	OAK
19	וַיֻּתַּן֙	H5414	HC/VHw3ms	TERRIBLE
20	בֵּ֤ין	H996	HR	BETWEEN
21	הַשָּׁמַ֨יִם֙	H8064	HTd/Ncmpa	SKY
22	וּבֵ֣ין	H996	HC/R	BETWEEN
23	הָאָ֔רֶץ	H776	HTd/Ncbsa	LAND
24	וְהַפֶּ֥רֶד	H6505	HC/Td/Ncmsa	MULE
25	אֲשֶׁר	H834	HTr	WHICH
26	תַּחְתָּ֖יו	H8478	HR/Sp3ms	UNDER
27	עָבָֽר	H5674	HVqp3ms	CROSS OVER (V)

## 18:10
01	וַיַּרְא֙	H7200	HC/Vqw3ms	SEE (V)
02	אִ֣ישׁ	H376	HNcmsa	MAN
03	אֶחָ֔ד	H259	HAcmsa	UNIT
04	וַיַּגֵּ֖ד	H5046	HC/Vhw3ms	BE FACE TO FACE (V)
05	לְיוֹאָ֑ב	H3097	HR/Np	
06	וַיֹּ֗אמֶר	H559	HC/Vqw3ms	SAY (V)
07	הִנֵּה֙	H2009	HTm	LOOK
08	רָאִ֣יתִי	H7200	HVqp1cs	SEE (V)
09	אֶת	H853	HTo	AT
10	אַבְשָׁלֹ֔ם	H53	HNp	
11	תָּל֖וּי	H8518	HVqsmsa	HANG (V)
12	בָּאֵלָֽה	H424	HRd/Ncfsa	OAK

## 18:11
01	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
02	יוֹאָ֗ב	H3097	HNp	
03	לָאִישׁ֙	H376	HRd/Ncmsa	MAN
04	הַמַּגִּ֣יד	H5046	HTd/Vhrmsa	BE FACE TO FACE (V)
05	ל֔וֹ	None	HR/Sp3ms	
06	וְהִנֵּ֣ה	H2009	HC/Tm	LOOK
07	רָאִ֔יתָ	H7200	HVqp2ms	SEE (V)
08	וּמַדּ֛וּעַ	H4069	HC/Ti	WHY
09	לֹֽא	H3808	HTn	NOT
10	הִכִּית֥וֹ	H5221	HVhp2ms/Sp3ms	HIT (V)
11	שָׁ֖ם	H8033	HD	THERE
12	אָ֑רְצָה	H776	HNcbsa/Sd	LAND
13	וְעָלַ֗י	H5921	HC/R/Sp1cs	UPON
14	לָ֤תֶת	H5414	HR/Vqc	TERRIBLE
15	לְךָ֙	None	HR/Sp2ms	
16	עֲשָׂ֣רָה	H6235	HAcmsa	TEN
17	כֶ֔סֶף	H3701	HNcmsa	SILVER
18	וַחֲגֹרָ֖ה	H2290	HC/Ncfsa	LOIN WRAP
19	אֶחָֽת	H259	HAcfsa	UNIT

## 18:12
01	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
02	הָאִישׁ֙	H376	HTd/Ncmsa	MAN
03	אֶל	H413	HR	TO
04	יוֹאָ֔ב	H3097	HNp	
05	אָנֹכִ֜י	H595	HPp1cs	I
06	שֹׁקֵ֤ל	H8254	HVqrmsa	WEIGH (V)
07	עַל	H5921	HR	UPON
08	כַּפַּי֙	H3709	HNcfdc/Sp1cs	PALM
09	אֶ֣לֶף	H505	HAcbsa	THOUSAND
10	כֶּ֔סֶף	H3701	HNcmsa	SILVER
11	לֹֽא	H3808	HTn	NOT
12	אֶשְׁלַ֥ח	H7971	HVqi1cs	SEND (V)
13	יָדִ֖י	H3027	HNcbsc/Sp1cs	HAND
14	אֶל	H413	HR	TO
15	בֶּן	H1121	HNcmsc	SON
16	הַמֶּ֑לֶךְ	H4428	HTd/Ncmsa	KING
17	כִּ֣י	H3588	HC	GIVEN THAT
18	בְאָזְנֵ֜ינוּ	H241	HR/Ncfdc/Sp1cp	EAR
19	צִוָּ֣ה	H6680	HVpp3ms	DIRECT (V)
20	הַמֶּ֗לֶךְ	H4428	HTd/Ncmsa	KING
21	אֹ֠תְךָ	H853	HTo/Sp2ms	AT
22	וְאֶת	H853	HC/To	AT
23	אֲבִישַׁ֤י	H52	HNp	
24	וְאֶת	H853	HC/To	AT
25	אִתַּי֙	H863	HNp	
26	לֵאמֹ֔ר	H559	HR/Vqc	SAY (V)
27	שִׁמְרוּ	H8104	HVqv2mp	SAFEGUARD (V)
28	מִ֕י	H4310	HTi	WHO
29	בַּנַּ֖עַר	H5288	HRd/Ncmsa	YOUNG MAN
30	בְּאַבְשָׁלֽוֹם	H53	HR/Np	

## 18:13
01	אֽוֹ	H176	HC	OR
02	עָשִׂ֤יתִי	H6213	HVqp1cs	DO (V)
03	שֶׁ֔קֶר	H8267	HNcmsa	FALSE
04	וְכָל	H3605	HC/Ncmsc	ALL
05	דָּבָ֖ר	H1697	HNcmsa	WORD
06	לֹא	H3808	HTn	NOT
07	יִכָּחֵ֣ד	H3582	HVNi3ms	KEEP SECRET (V)
08	מִן	H4480	HR	FROM
09	הַמֶּ֑לֶךְ	H4428	HTd/Ncmsa	KING
10	וְאַתָּ֖ה	H859	HC/Pp2ms	YOU(FP)
11	תִּתְיַצֵּ֥ב	H3320	HVti2ms	STATION (V)
