Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
JOL	1	16	yv6d	figs-ellipsis	הֲ⁠ל֛וֹא נֶ֥גֶד עֵינֵ֖י⁠נוּ אֹ֣כֶל נִכְרָ֑ת מִ⁠בֵּ֥ית אֱלֹהֵ֖י⁠נוּ שִׂמְחָ֥ה וָ⁠גִֽיל	1.0	Has not food been cut off from before our eyes, and joy and gladness from the house of our God?	It is certain that destruction will come from the Almighty because these things have already happened. This can be translated in active form. Alternate translation: “We know this is true because we have already seen the Almighty cut off our supply of food, and he has cut off joy and gladness from the house of our God.” (See: [[rc://en/ta/man/translate/figs-ellipsis]] and [[rc://en/ta/man/translate/figs-activepassive]])	JOL 1:16
JOL	1	16	r8wr	figs-synecdoche	נֶ֥גֶד עֵינֵ֖י⁠נוּ	1.0	from before our eyes	“from us.” This refers to all of the nation of Israel. (See: [[rc://en/ta/man/translate/figs-synecdoche]])	JOL 1:16
JOL	1	16	f1eb	figs-ellipsis	מִ⁠בֵּ֥ית אֱלֹהֵ֖י⁠נוּ שִׂמְחָ֥ה וָ⁠גִֽיל	1.0	joy and gladness from the house of our God	You may need to fill in the ellipsis. Alternate translation: “joy and gladness have been cut off from the house of our God” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	JOL 1:16
JOL	1	16	ppt5	figs-doublet	שִׂמְחָ֥ה וָ⁠גִֽיל	1.0	joy and gladness	These two words mean basically the same thing. Together they emphasize that there is no kind of joyful activity happening at the temple. (See: [[rc://en/ta/man/translate/figs-doublet]])	JOL 1:16
JOL	2	2	qmb9	figs-doublet	י֧וֹם חֹ֣שֶׁךְ וַ⁠אֲפֵלָ֗ה	1.0	day of darkness and gloom	The words “darkness” and “gloom” share similar meanings and emphasize that the darkness will be very dark. Both words refer to a time of disaster or divine judgment. Alternate translation: “day that is full of darkness” or “day of terrible judgment” (See: [[rc://en/ta/man/translate/figs-doublet]] and [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:2
JOL	2	2	pcr6	figs-doublet	י֤וֹם עָנָן֙ וַ⁠עֲרָפֶ֔ל	1.0	day of clouds and thick darkness	This phrase means the same thing as, and intensifies the idea of the previous phrase. Like that phrase, both “clouds” and “thick darkness” refer to divine judgment. Alternate translation: “day full of dark storm clouds” (See: [[rc://en/ta/man/translate/figs-doublet]] and [[rc://en/ta/man/translate/figs-metonymy]])	JOL 2:2
JOL	2	2	h3d1	figs-simile	כְּ⁠שַׁ֖חַר פָּרֻ֣שׂ עַל־הֶֽ⁠הָרִ֑ים עַ֚ם רַ֣ב וְ⁠עָצ֔וּם	1.0	Like the dawn that spreads on the mountains, a large and mighty army is approaching	When direct sunlight shines on a mountain at dawn, it begins at the top and spreads to the bottom. When an army comes over a mountain range, it comes over the top and spreads out as it comes down. Alternate translation: “A large, mighty army comes over the mountains into the land. They spread over the land like the light from the rising sun” (See: [[rc://en/ta/man/translate/figs-simile]])	JOL 2:2
JOL	2	2	ekb8	figs-metaphor	עַ֚ם רַ֣ב וְ⁠עָצ֔וּם	1.0	a large and mighty army	The words “large” and “mighty” share similar meanings here and emphasize that the army will be very strong. The word **army** could possibly be: (1) a metaphor for a swarm of locusts or (2) referring to a human army. (See: [[rc://en/ta/man/translate/figs-metaphor]] and [[rc://en/ta/man/translate/figs-doublet]])	JOL 2:2
JOL	2	3	fly5	figs-metaphor	לְ⁠פָנָי⁠ו֙ אָ֣כְלָה אֵ֔שׁ	1.0	A fire is consuming everything in front of it	A fire destroys everything as it moves, and the “army” ([Joel 2:2](../02/02.md)), whether of humans or of locusts, destroys everything as it moves. (See: [[rc://en/ta/man/translate/figs-metaphor]])	JOL 2:3
JOL	2	3	z5iu	figs-metaphor	וְ⁠אַחֲרָ֖י⁠ו תְּלַהֵ֣ט לֶֽהָבָ֑ה	1.0	behind it a flame is burning	After a wall of flame goes through dry land and burns the dryest and smallest fuel, there will still be flames as the larger and less dry fuel burns. (See: [[rc://en/ta/man/translate/figs-metaphor]])	JOL 2:3
JOL	2	3	yne4	figs-simile	כְּ⁠גַן־עֵ֨דֶן הָ⁠אָ֜רֶץ	1.0	land is like the garden of Eden	The garden of Eden was a beautiful place, and the land was beautiful. (See: [[rc://en/ta/man/translate/figs-simile]])	JOL 2:3
JOL	2	4	ztn5	figs-simile	כְּ⁠מַרְאֵ֥ה סוּסִ֖ים מַרְאֵ֑⁠הוּ	1.0	The army’s appearance is like horses	The head of a locust looks like a small horse head. The army is fast, and horses are fast. (See: [[rc://en/ta/man/translate/figs-simile]])	JOL 2:4
JOL	2	4	myc3	figs-simile	וּ⁠כְ⁠פָרָשִׁ֖ים כֵּ֥ן יְרוּצֽוּ⁠ן	1.0	they run like horsemen	Men riding horses move quickly, and the army moves quickly. (See: [[rc://en/ta/man/translate/figs-simile]])	JOL 2:4
JOL	2	5	n75f	figs-simile	כְּ⁠ק֣וֹל מַרְכָּב֗וֹת…כְּ⁠קוֹל֙ לַ֣הַב אֵ֔שׁ…כְּ⁠עַ֣ם עָצ֔וּם עֱר֖וּךְ מִלְחָמָֽה	1.0	a noise like that of chariots … like the noise of fiery flames … like a mighty army ready for battle	These sounds would have been very frightening to Joel’s readers. If your readers will not understand what these sound like, you might be able to use a more general phrase: “a noise that frightens everyone” (See: [[rc://en/ta/man/translate/figs-simile]])	JOL 2:5
JOL	2	7	e5ge	figs-personification	כְּ⁠גִבּוֹרִ֣ים יְרֻצ֔וּ⁠ן כְּ⁠אַנְשֵׁ֥י מִלְחָמָ֖ה יַעֲל֣וּ חוֹמָ֑ה	1.0	They run like mighty warriors … climb the walls like soldiers	The army of locusts acts as real soldiers do. (See: [[rc://en/ta/man/translate/figs-personification]] and [[rc://en/ta/man/translate/figs-simile]])	JOL 2:7
