## 11:1
07	גְּב֣וּל	H1366	HNcmsc	BORDER
08	יִשְׂרָאֵל֮	H3478	HNp	
09	בְּיַ֣ד	H3027	HR/Ncbsc	HAND
10	הַמַּלְאָכִ֣ים	H4397	HTd/Ncmpa	MESSENGER
11	לֵאמֹר֒	H559	HR/Vqc	SAY (V)
12	אֲשֶׁר֩	H834	HTr	WHICH
13	אֵינֶ֨נּוּ	H369	HTn/Sp3ms	WITHOUT
14	יֹצֵ֜א	H3318	HVqrmsa	GO OUT (V)
15	אַחֲרֵ֤י	H310	HR	AFTER
16	שָׁאוּל֙	H7586	HNp	
17	וְאַחַ֣ר	H310	HC/R	AFTER
18	שְׁמוּאֵ֔ל	H8050	HNp	
19	כֹּ֥ה	H3541	HD	IN THIS WAY
20	יֵעָשֶׂ֖ה	H6213	HVNi3ms	DO (V)
21	לִבְקָר֑וֹ	H1241	HR/Ncbsc/Sp3ms	CATTLE
22	וַיִּפֹּ֤ל	H5307	HC/Vqw3ms	FALL (V)
23	פַּֽחַד	H6343	HNcmsc	AWE
24	יְהוָה֙	H3068	HNp	
25	עַל	H5921	HR	UPON
26	הָעָ֔ם	H5971	HTd/Ncmsa	PEOPLE
27	וַיֵּצְא֖וּ	H3318	HC/Vqw3mp	GO OUT (V)
28	כְּאִ֥ישׁ	H376	HR/Ncmsa	MAN
29	אֶחָֽד	H259	HAcmsa	UNIT

## 11:8
01	וַֽיִּפְקְדֵ֖ם	H6485	HC/Vqw3ms/Sp3mp	REGISTER (V)
02	בְּבָ֑זֶק	H966	HR/Np	
03	וַיִּהְי֤וּ	H1961	HC/Vqw3mp	EXIST (V)
04	בְנֵֽי	H1121	HNcmpc	SON
05	יִשְׂרָאֵל֙	H3478	HNp	
06	שְׁלֹ֣שׁ	H7969	HAcfsa	THREE
07	מֵא֣וֹת	H3967	HAcbpa	HUNDRED
08	אֶ֔לֶף	H505	HAcbsa	THOUSAND
09	וְאִ֥ישׁ	H376	HC/Ncmsc	MAN
10	יְהוּדָ֖ה	H3063	HNp	
11	שְׁלֹשִׁ֥ים	H7970	HAcbpa	THREE
12	אָֽלֶף	H505	HAcbsa	THOUSAND

## 11:9
01	וַיֹּאמְר֞וּ	H559	HC/Vqw3mp	SAY (V)
02	לַמַּלְאָכִ֣ים	H4397	HRd/Ncmpa	MESSENGER
03	הַבָּאִ֗ים	H935	HTd/Vqrmpa	COME (V)
04	כֹּ֤ה	H3541	HD	IN THIS WAY
05	תֹֽאמְרוּן֙	H559	HVqi2mp/Sn	SAY (V)
06	לְאִישׁ֙	H376	HR/Ncmsc	MAN
07	יָבֵ֣ישׁ	H3003	HNp	
08	גִּלְעָ֔ד	H1568	HNp	
09	מָחָ֛ר	H4279	HNcmsa	TOMORROW
10	תִּהְיֶֽה	H1961	HVqi3fs	EXIST (V)
11	לָכֶ֥ם		HR/Sp2mp	
12	תְּשׁוּעָ֖ה	H8668	HNcfsa	RESCUE
13	הַשָּׁ֑מֶשׁ	H8121	HTd/Ncbsa	ATTEND (V)
14	וַיָּבֹ֣אוּ	H935	HC/Vqw3mp	COME (V)
15	הַמַּלְאָכִ֗ים	H4397	HTd/Ncmpa	MESSENGER
16	וַיַּגִּ֛ידוּ	H5046	HC/Vhw3mp	BE FACE TO FACE (V)
17	לְאַנְשֵׁ֥י	H376	HR/Ncmpc	MAN
18	יָבֵ֖ישׁ	H3003	HNp	
19	וַיִּשְׂמָֽחוּ	H8055	HC/Vqw3mp	REJOICE (V)

## 11:10
01	וַֽיֹּאמְרוּ֙	H559	HC/Vqw3mp	SAY (V)
02	אַנְשֵׁ֣י	H376	HNcmpc	MAN
03	יָבֵ֔ישׁ	H3003	HNp	
04	מָחָ֖ר	H4279	HNcmsa	TOMORROW
05	נֵצֵ֣א	H3318	HVqi1cp	GO OUT (V)
06	אֲלֵיכֶ֑ם	H413	HR/Sp2mp	TO
07	וַעֲשִׂיתֶ֣ם	H6213	HC/Vqq2mp	DO (V)
08	לָּ֔נוּ		HR/Sp1cp	
09	כְּכָל	H3605	HR/Ncmsc	ALL
10	הַטּ֖וֹב	H2896	HTd/Aamsa	FUNCTIONAL
11	בְּעֵינֵיכֶֽם	H5869	HR/Ncbdc/Sp2mp	EYE

## 11:11
01	וַיְהִ֣י	H1961	HC/Vqw3ms	EXIST (V)
02	מִֽמָּחֳרָ֗ת	H4283	HR/Ncfsa	MORROW
03	וַיָּ֨שֶׂם	H7760	HC/Vqw3ms	PLACE (V)
04	שָׁא֣וּל	H7586	HNp	
05	אֶת	H853	HTo	AT
06	הָעָם֮	H5971	HTd/Ncmsa	PEOPLE
07	שְׁלֹשָׁ֣ה	H7969	HAcmsa	THREE
08	רָאשִׁים֒	H7218	HNcmpa	HEAD
09	וַיָּבֹ֤אוּ	H935	HC/Vqw3mp	COME (V)
10	בְתוֹךְ	H8432	HR/Ncmsc	MIDST
11	הַֽמַּחֲנֶה֙	H4264	HTd/Ncbsa	CAMP
12	בְּאַשְׁמֹ֣רֶת	H821	HR/Ncfsc	NIGHT WATCH
13	הַבֹּ֔קֶר	H1242	HTd/Ncmsa	MORNING
14	וַיַּכּ֥וּ	H5221	HC/Vhw3mp	HIT (V)
15	אֶת	H853	HTo	AT
16	עַמּ֖וֹן	H5983	HNp	
17	עַד	H5704	HR	UNTIL
18	חֹ֣ם	H2527	HNcmsc	HOT
19	הַיּ֑וֹם	H3117	HTd/Ncmsa	DAY
20	וַיְהִ֤י	H1961	HC/Vqw3ms	EXIST (V)
21	הַנִּשְׁאָרִים֙	H7604	HTd/VNrmpa	REMAIN (V)
22	וַיָּפֻ֔צוּ	H6327	HC/Vqw3mp	SCATTER ABROAD (V)
23	וְלֹ֥א	H3808	HC/Tn	NOT
24	נִשְׁאֲרוּ	H7604	HVNp3cp	REMAIN (V)
25	בָ֖ם		HR/Sp3mp	
26	שְׁנַ֥יִם	H8147	HAcmda	TWO
27	יָֽחַד	H3162	HNcmsa	TOGETHER

## 11:12
01	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
02	הָעָם֙	H5971	HTd/Ncmsa	PEOPLE
03	אֶל	H413	HR	TO
04	שְׁמוּאֵ֔ל	H8050	HNp	
05	מִ֣י	H4310	HTi	WHO
06	הָאֹמֵ֔ר	H559	HTd/Vqrmsa	SAY (V)
07	שָׁא֖וּל	H7586	HNp	
08	יִמְלֹ֣ךְ	H4427	HVqi3ms	REIGN (V)
09	עָלֵ֑ינוּ	H5921	HR/Sp1cp	UPON
10	תְּנ֥וּ	H5414	HVqv2mp	TERRIBLE
11	הָאֲנָשִׁ֖ים	H376	HTd/Ncmpa	MAN
12	וּנְמִיתֵֽם	H4191	HC/Vhi1cp/Sp3mp	DIE (V)

## 11:13
01	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
02	שָׁא֔וּל	H7586	HNp	
03	לֹֽא	H3808	HTn	NOT
04	יוּמַ֥ת	H4191	HVHi3ms	DIE (V)
05	אִ֖ישׁ	H376	HNcmsa	MAN
06	בַּיּ֣וֹם	H3117	HRd/Ncmsa	DAY
07	הַזֶּ֑ה	H2088	HTd/Pdxms	THIS
08	כִּ֥י	H3588	HC	GIVEN THAT
09	הַיּ֛וֹם	H3117	HTd/Ncmsa	DAY
10	עָשָֽׂה	H6213	HVqp3ms	DO (V)
11	יְהוָ֥ה	H3068	HNp	
12	תְּשׁוּעָ֖ה	H8668	HNcfsa	RESCUE
13	בְּיִשְׂרָאֵֽל	H3478	HR/Np	

## 11:14
01	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
02	שְׁמוּאֵל֙	H8050	HNp	
03	אֶל	H413	HR	TO
04	הָעָ֔ם	H5971	HTd/Ncmsa	PEOPLE
05	לְכ֖וּ	H3212	HVqv2mp	WALK (V)
06	וְנֵלְכָ֣ה	H3212	HC/Vqh1cp	WALK (V)
07	הַגִּלְגָּ֑ל	H1537	HTd/Np	
08	וּנְחַדֵּ֥שׁ	H2318	HC/Vph1cp	RENEW (V)
09	שָׁ֖ם	H8033	HD	THERE
10	הַמְּלוּכָֽה	H4410	HTd/Ncfsa	KINGDOM

## 11:15
01	וַיֵּלְכ֨וּ	H3212	HC/Vqw3mp	WALK (V)
02	כָל	H3605	HNcmsc	ALL
03	הָעָ֜ם	H5971	HTd/Ncmsa	PEOPLE
04	הַגִּלְגָּ֗ל	H1537	HTd/Np	
05	וַיַּמְלִכוּ֩	H4427	HC/Vhw3mp	REIGN (V)
06	שָׁ֨ם	H8033	HD	THERE
07	אֶת	H853	HTo	AT
08	שָׁא֜וּל	H7586	HNp	
09	לִפְנֵ֤י	H6440	HR/Ncbpc	FACE
10	יְהוָה֙	H3068	HNp	
11	בַּגִּלְגָּ֔ל	H1537	HRd/Np	
12	וַיִּזְבְּחוּ	H2076	HC/Vqw3mp	SACRIFICE (V)
13	שָׁ֛ם	H8033	HD	THERE
14	זְבָחִ֥ים	H2077	HNcmpa	SACRIFICE
15	שְׁלָמִ֖ים	H8002	HNcmpa	OFFERING OF RESTITUTION
16	לִפְנֵ֣י	H6440	HR/Ncbpc	FACE
17	יְהוָ֑ה	H3068	HNp	
18	וַיִּשְׂמַ֨ח	H8055	HC/Vqw3ms	REJOICE (V)
19	שָׁ֥ם	H8033	HD	THERE
20	שָׁא֛וּל	H7586	HNp	
21	וְכָל	H3605	HC/Ncmsc	ALL
22	אַנְשֵׁ֥י	H376	HNcmpc	MAN
23	יִשְׂרָאֵ֖ל	H3478	HNp	
24	עַד	H5704	HR	UNTIL
25	מְאֹֽד	H3966	HD	MANY
