MACULA_IDs	MARBLE_IDs
o080010020041	00800100200012
o080010020042	00800100200014
o080010020051 o080010020052	00800100200016
o080010020061	00800100200018
o080010020071	00800100200020
o080010020072	00800100200022
o080010020081	00800100200024
o080010020091 o080010020092	00800100200026
o080010020101	00800100200028
o080010020111	00800100200030
o080010020112	00800100200032
o080010020121	00800100200034
o080010020131	00800100200036
o080010020132 o080010020141	00800100200038
o080010020151	00800100200040
o080010020161	00800100200042
o080010020162	00800100200044
o080010020171	00800100200046
o080010020181	00800100200048
o080010020191	00800100200050
o080010020192	00800100200052
o080010020201	00800100200054
o080010030011	00800100300002
o080010030012	00800100300004
o080010030021	00800100300006
o080010030031	00800100300008
o080010030041	00800100300010
o080010030051	00800100300012
o080010030052	00800100300014
o080010030061	00800100300016
o080010030071	00800100300018
o080010030072	00800100300020
o080010030081 o080010030082	00800100300022
o080010040011	00800100400002
o080010040012	00800100400004
o080010040021 o080010040022	00800100400006
o080010040031	00800100400008
o080010040041	00800100400010
o080010040051	00800100400012
o080010040061	00800100400014
o080010040062	00800100400016
o080010040071	00800100400018
o080010040081	00800100400020
o080010040082	00800100400022
o080010040091	00800100400024
o080010040092	00800100400026
o080010040101	00800100400028
o080010040111	00800100400030
o080010040112	00800100400032
o080010040121	00800100400034
o080010040131	00800100400036
o080010040132	00800100400038
o080010040141	00800100400040
o080010050011	00800100500002
o080010050012	00800100500004
o080010050021	00800100500006
o080010050031 o080010050032	00800100500008
o080010050041	00800100500010
o080010050051	00800100500012
o080010050052	00800100500014
o080010050061	00800100500016
o080010050062	00800100500018
o080010050071	00800100500020
o080010050072	00800100500022
o080010050081	00800100500024
o080010050082	00800100500026
o080010050091 o080010050092	00800100500028
o080010050101	00800100500030
o080010050102	00800100500032
o080010050103 o080010050104	00800100500034
o080010060011	00800100600002
o080010060012	00800100600004
o080010060021	00800100600006
o080010060031	00800100600008
o080010060032 o080010060033	00800100600010
o080010060041	00800100600012
o080010060042	00800100600014
o080010060051	00800100600016
o080010060052	00800100600018
o080010060061	00800100600020
o080010060071	00800100600022
o080010060081	00800100600024
o080010060091	00800100600026
o080010060092	00800100600028
o080010060101	00800100600030
o080010060111	00800100600032
o080010060121	00800100600034
o080010060131	00800100600036
o080010060141	00800100600038
o080010060151 o080010060152	00800100600040
o080010060161	00800100600042
o080010060162	00800100600044
o080010060171 o080010060172	00800100600046
o080010060181	00800100600048
o080010070011	00800100700002
o080010070012	00800100700004
o080010070021	00800100700006
o080010070031	00800100700008
o080010070032	00800100700010
o080010070041	00800100700012
o080010070051	00800100700014
o080010070061 o080010070062	00800100700016
o080010070071	00800100700018
o080010070072	00800100700020
o080010070081 o080010070082	00800100700022
o080010070091 o080010070092	00800100700024
o080010070101	00800100700026
o080010070102	00800100700028
o080010070111	00800100700030
o080010070112	00800100700034
o080010070121	00800100700036
o080010070122	00800100700038
o080010070131	00800100700040
o080010070141	00800100700042
o080010070151	00800100700044
o080010080011	00800100800002
o080010080012	00800100800004
o080010080021	00800100800006
o080010080031	00800100800008
o080010080032	00800100800010
o080010080041 o080010080042	00800100800012
o080010080051	00800100800014
o080010080061	00800100800016
o080010080071	00800100800018
o080010080081	00800100800020
o080010080082	00800100800022
o080010080091 o080010080092	00800100800024
o080010080111	00800100800028
o080010080121	00800100800030
o080010080131 o080010080132	00800100800032
o080010080141	00800100800034
o080010080151	00800100800036
o080010080152	00800100800038
o080010080161	00800100800040
o080010080171	00800100800042
o080010080181	00800100800044
o080010080182	00800100800046
o080010080191	00800100800048
o080010080192 o080010080193	00800100800050
o080010090011	00800100900002
o080010090021	00800100900004
o080010090031 o080010090032	00800100900006
o080010090041	00800100900008
o080010090042	00800100900010
o080010090051	00800100900012
o080010090061	00800100900014
o080010090071	00800100900016
o080010090081 o080010090082	00800100900018
o080010090091	00800100900020
o080010090092	00800100900022
o080010090101 o080010090102	00800100900024
o080010090111	00800100900026
o080010090112	00800100900028
o080010090121 o080010090122	00800100900030
o080010090131	00800100900032
o080010090132	00800100900034
o080010100011	00800101000002
o080010100012	00800101000004
o080010100021 o080010100022	00800101000006
o080010100031	00800101000008
o080010100041 o080010100042	00800101000010
o080010100051	00800101000012
o080010100061	00800101000014
o080010100062 o080010100063	00800101000016
o080010110011	00800101100002
o080010110012	00800101100004
o080010110021	00800101100006
o080010110031	00800101100008
o080010110041 o080010110042	00800101100010
o080010110051 o080010110052	00800101100012
o080010110061	00800101100014
o080010110071 o080010110072	00800101100016
o080010110081	00800101100018
o080010110082	00800101100020
o080010110091 o080010110092	00800101100022
o080010110101	00800101100024
o080010110111	00800101100026
o080010110112 o080010110113	00800101100028
o080010110121	00800101100030
o080010110122	00800101100032
o080010110131 o080010110132	00800101100034
o080010110141	00800101100036
o080010110142	00800101100038
o080010120011	00800101200002
o080010120021 o080010120022	00800101200004
o080010120031	00800101200006
o080010120041	00800101200008
o080010120051	00800101200010
o080010120061	00800101200012
o080010120062	00800101200014
o080010120071	00800101200016
o080010120072	00800101200018
o080010120081	00800101200020
o080010120091	00800101200022
o080010120101	00800101200024
o080010120111 o080010120112	00800101200026
o080010120121	00800101200028
o080010120131	00800101200030
o080010120141	00800101200032
o080010120151	00800101200034
o080010120152	00800101200036
o080010120161	00800101200038
o080010120162	00800101200040
o080010120171	00800101200042
o080010120172	00800101200044
o080010120181	00800101200046
o080010120191	00800101200048
o080010130011	00800101300002
o080010130012	00800101300004
o080010130021	00800101300006
o080010130031	00800101300008
o080010130041	00800101300010
o080010130051	00800101300012
o080010130061	00800101300014
o080010130062	00800101300016
o080010130071	00800101300018
o080010130081	00800101300020
o080010130082	00800101300022
o080010130091	00800101300024
o080010130101	00800101300026
o080010130102	00800101300028
o080010130111	00800101300030
o080010130121 o080010130122	00800101300032
o080010130131	00800101300034
o080010130141	00800101300036
o080010130151 o080010130152	00800101300038
o080010130161	00800101300040
o080010130171 o080010130172	00800101300042
o080010130181	00800101300044
o080010130191	00800101300046
o080010130201 o080010130202	00800101300048
o080010130211	00800101300050
o080010130221	00800101300052
o080010140011	00800101400002
o080010140012	00800101400004
o080010140021 o080010140022	00800101400006
o080010140031	00800101400008
o080010140032	00800101400010
o080010140041	00800101400012
o080010140051	00800101400014
o080010140052	00800101400016
o080010140061	00800101400018
o080010140071	00800101400020
o080010140072 o080010140073	00800101400022
o080010140081	00800101400024
o080010140082	00800101400026
o080010140091	00800101400028
o080010140101 o080010140102	00800101400030
o080010150011	00800101500002
o080010150012	00800101500004
o080010150021	00800101500006
o080010150031	00800101500008
o080010150041 o080010150042	00800101500010
o080010150051	00800101500012
o080010150061 o080010150062	00800101500014
o080010150071	00800101500016
o080010150072	00800101500018
o080010150081 o080010150082	00800101500020
o080010150091	00800101500022
o080010150101	00800101500024
o080010150111 o080010150112	00800101500026
o080010160011	00800101600002
o080010160012	00800101600004
o080010160021	00800101600006
o080010160031	00800101600008
o080010160041	00800101600010
o080010160051 o080010160052	00800101600012
o080010160061	00800101600014
o080010160062 o080010160063	00800101600016
o080010160071	00800101600018
o080010160072	00800101600020
o080010160081	00800101600022
o080010160082 o080010160083	00800101600024
o080010160091	00800101600026
o080010160101	00800101600028
o080010160111	00800101600030
o080010160121	00800101600032
o080010160131	00800101600034
o080010160141	00800101600036
o080010160142	00800101600038
o080010160143	00800101600040
o080010160151	00800101600042
o080010160161	00800101600044
o080010160171 o080010160172	00800101600046
o080010160181 o080010160182	00800101600048
o080010160191	00800101600050
o080010160192 o080010160193	00800101600052
o080010160201 o080010160202	00800101600054
o080010170011	00800101700002
o080010170012	00800101700004
o080010170021	00800101700006
o080010170031	00800101700008
o080010170041	00800101700010
o080010170042	00800101700012
o080010170051	00800101700014
o080010170061	00800101700016
o080010170071	00800101700018
o080010170081	00800101700020
o080010170091 o080010170092	00800101700022
o080010170101	00800101700024
o080010170102	00800101700026
o080010170111	00800101700028
o080010170121	00800101700030
o080010170131	00800101700032
o080010170132	00800101700034
o080010170141	00800101700036
o080010170151 o080010170152	00800101700038
o080010170161	00800101700040
o080010170162 o080010170163	00800101700042
o080010180011	00800101800002
o080010180012	00800101800004
o080010180021	00800101800006
o080010180031	00800101800008
o080010180041	00800101800010
o080010180051	00800101800012
o080010180052	00800101800014
o080010180061 o080010180062	00800101800016
o080010180071	00800101800018
o080010180072	00800101800020
o080010180081	00800101800022
o080010180082	00800101800024
o080010180091 o080010180092	00800101800026
o080010190011	00800101900002
o080010190012	00800101900004
o080010190021 o080010190022	00800101900006
o080010190031	00800101900008
o080010190041 o080010190042	00800101900010
o080010190051 o080010190061	00800101900012
o080010190071	00800101900014
o080010190072	00800101900016
o080010190081	00800101900018
o080010190082 o080010190083	00800101900020
o080010190091 o080010190101	00800101900022
o080010190111	00800101900024
o080010190112	00800101900026
o080010190121	00800101900028
o080010190131	00800101900030
o080010190132	00800101900032
o080010190141 o080010190142	00800101900034
o080010190151	00800101900036
o080010190152	00800101900038
o080010190161	00800101900040
o080010190162	00800101900042
o080010190171	00800101900044
o080010200011	00800102000002
o080010200012	00800102000004
o080010200021 o080010200022	00800102000006
o080010200031	00800102000008
o080010200041	00800102000010
o080010200051 o080010200052	00800102000012
o080010200061	00800102000014
o080010200071	00800102000016
o080010200081 o080010200082	00800102000018
o080010200091	00800102000020
o080010200101	00800102000022
o080010200111	00800102000024
o080010200121	00800102000026
o080010200131 o080010200132	00800102000028
o080010200141	00800102000030
o080010210011	00800102100002
o080010210021	00800102100004
o080010210031	00800102100006
o080010210041	00800102100008
o080010210042	00800102100010
o080010210051 o080010210052	00800102100012
o080010210061	00800102100014
o080010210071 o080010210072	00800102100016
o080010210081	00800102100018
o080010210091 o080010210092	00800102100020
o080010210101	00800102100022
o080010210111	00800102100024
o080010210112	00800102100026
o080010210121	00800102100028
o080010210131 o080010210132	00800102100030
o080010210141	00800102100032
o080010210142	00800102100034
o080010210151	00800102100036
o080010210161 o080010210162	00800102100038
o080010220011	00800102200002
o080010220012	00800102200004
o080010220021	00800102200006
o080010220031	00800102200008
o080010220032	00800102200010
o080010220041	00800102200012
o080010220042	00800102200014
o080010220051 o080010220052	00800102200016
o080010220061 o080010220062	00800102200018
o080010220071	00800102200020
o080010220072	00800102200022
o080010220081	00800102200024
o080010220082	00800102200026
o080010220091	00800102200028
o080010220101	00800102200030
o080010220102	00800102200032
o080010220111	00800102200034
o080010220121 o080010220131	00800102200036
o080010220141	00800102200038
o080010220142	00800102200040
o080010220151	00800102200042
o080010220161	00800102200044
o080020010011	00800200100002
o080020010012	00800200100004
o080020010013	00800200100006
o080020010031	00800200100010
o080020010041	00800200100012
o080020010042 o080020010043	00800200100014
o080020010051	00800200100016
o080020010061	00800200100018
o080020010071	00800200100020
o080020010081	00800200100022
o080020010082	00800200100024
o080020010091	00800200100026
o080020010101	00800200100028
o080020010102 o080020010103	00800200100030
o080020010111	00800200100032
o080020020011	00800200200002
o080020020012	00800200200004
o080020020021	00800200200006
o080020020031	00800200200008
o080020020032	00800200200010
o080020020041	00800200200012
o080020020051	00800200200014
o080020020061	00800200200016
o080020020071	00800200200018
o080020020081	00800200200020
o080020020082	00800200200022
o080020020091	00800200200024
o080020020092	00800200200026
o080020020101	00800200200028
o080020020102	00800200200032
o080020020111	00800200200034
o080020020121	00800200200036
o080020020131	00800200200038
o080020020141	00800200200040
o080020020151	00800200200042
o080020020152 o080020020153	00800200200044
o080020020161	00800200200046
o080020020162	00800200200048
o080020020171 o080020020172	00800200200050
o080020020181	00800200200052
o080020020191 o080020020192	00800200200054
o080020030011	00800200300002
o080020030012	00800200300004
o080020030021	00800200300006
o080020030022	00800200300008
o080020030031	00800200300010
o080020030032	00800200300012
o080020030041	00800200300014
o080020030042	00800200300018
o080020030051	00800200300020
o080020030061	00800200300022
o080020030062	00800200300024
o080020030071	00800200300026
o080020030072	00800200300028
o080020030081 o080020030082	00800200300030
o080020030091	00800200300032
o080020030101	00800200300034
o080020030102	00800200300036
o080020030111	00800200300038
o080020030112	00800200300040
o080020030121	00800200300042
o080020030131	00800200300044
o080020030132	00800200300046
o080020030141	00800200300048
o080020040011	00800200400002
o080020040012	00800200400004
o080020040021	00800200400006
o080020040031	00800200400008
o080020040041	00800200400010
o080020040042 o080020040051	00800200400012
o080020040061	00800200400014
o080020040062	00800200400016
o080020040071	00800200400018
o080020040072	00800200400022
o080020040081	00800200400024
o080020040091 o080020040092	00800200400026
o080020040101	00800200400028
o080020040102	00800200400030
o080020040111 o080020040112	00800200400032
o080020040121 o080020040122	00800200400034
o080020040131	00800200400036
o080020050011	00800200500002
o080020050012	00800200500004
o080020050021	00800200500006
o080020050031	00800200500008
o080020050032 o080020050033	00800200500010
o080020050041	00800200500012
o080020050042	00800200500014
o080020050051	00800200500016
o080020050061	00800200500018
o080020050062	00800200500020
o080020050071	00800200500022
o080020050072	00800200500024
o080020050081	00800200500026
o080020050082	00800200500028
o080020050091	00800200500030
o080020050092	00800200500032
o080020060011	00800200600002
o080020060012	00800200600004
o080020060021	00800200600006
o080020060022	00800200600008
o080020060031	00800200600010
o080020060032	00800200600012
o080020060041	00800200600014
o080020060051	00800200600016
o080020060052	00800200600018
o080020060061	00800200600020
o080020060062	00800200600022
o080020060071	00800200600024
o080020060081	00800200600026
o080020060091	00800200600028
o080020060101	00800200600030
o080020060102	00800200600032
o080020060111	00800200600034
o080020060121	00800200600036
o080020060131	00800200600038
o080020060132	00800200600040
o080020060141	00800200600042
o080020070011	00800200700002
o080020070012	00800200700004
o080020070021	00800200700006
o080020070031	00800200700008
o080020070041	00800200700010
o080020070042	00800200700012
o080020070051	00800200700014
o080020070052	00800200700018
o080020070061	00800200700020
o080020070071	00800200700022
o080020070072	00800200700024
o080020070081	00800200700026
o080020070082	00800200700028
o080020070091	00800200700030
o080020070092	00800200700032
o080020070101	00800200700034
o080020070102	00800200700036
o080020070111	00800200700038
o080020070112	00800200700040
o080020070121	00800200700042
o080020070122	00800200700044
o080020070131	00800200700046
o080020070141	00800200700048
o080020070151 o080020070152	00800200700050
o080020070161	00800200700052
o080020070162	00800200700054
o080020070171	00800200700056
o080020080011	00800200800002
o080020080012	00800200800004
o080020080021	00800200800006
o080020080031	00800200800008
o080020080041	00800200800010
o080020080051	00800200800012
o080020080052	00800200800014
o080020080061	00800200800016
o080020080071 o080020080072	00800200800018
o080020080081	00800200800020
o080020080091	00800200800022
o080020080101	00800200800024
o080020080102	00800200800026
o080020080111	00800200800028
o080020080112	00800200800030
o080020080121	00800200800032
o080020080131	00800200800034
o080020080132	00800200800036
o080020080141	00800200800038
o080020080151	00800200800040
o080020080161	00800200800042
o080020080162	00800200800044
o080020080171	00800200800046
o080020080172	00800200800048
o080020080181 o080020080182	00800200800050
o080020080191	00800200800052
o080020080201 o080020080202	00800200800054
o080020090011 o080020090012	00800200900002
o080020090021	00800200900004
o080020090022	00800200900008
o080020090031	00800200900010
o080020090041 o080020090042	00800200900012
o080020090051	00800200900014
o080020090052	00800200900016
o080020090061 o080020090062	00800200900018
o080020090071	00800200900020
o080020090072	00800200900022
o080020090081	00800200900024
o080020090091	00800200900026
o080020090101	00800200900028
o080020090102	00800200900030
o080020090111	00800200900032
o080020090112	00800200900034
o080020090121 o080020090122	00800200900036
o080020090131	00800200900038
o080020090132	00800200900040
o080020090141	00800200900042
o080020090142	00800200900044
o080020090151	00800200900046
o080020090161	00800200900048
o080020090162	00800200900050
o080020090171	00800200900052
o080020090172	00800200900054
o080020090181	00800200900056
o080020090182	00800200900058
o080020090191 o080020090192	00800200900060
o080020090201	00800200900062
o080020090202	00800200900064
o080020100011	00800201000002
o080020100012	00800201000004
o080020100021	00800201000006
o080020100031 o080020100032	00800201000008
o080020100041	00800201000010
o080020100042	00800201000012
o080020100051 o080020100052	00800201000014
o080020100061	00800201000016
o080020100062	00800201000018
o080020100071 o080020100072	00800201000020
o080020100081	00800201000022
o080020100091	00800201000024
o080020100101	00800201000026
o080020100111	00800201000028
o080020100112 o080020100113	00800201000030
o080020100121	00800201000032
o080020100122 o080020100123	00800201000034
o080020100131	00800201000036
o080020100132	00800201000038
o080020100141	00800201000040
o080020110011	00800201100002
o080020110012	00800201100004
o080020110021	00800201100006
o080020110031	00800201100008
o080020110032	00800201100010
o080020110041 o080020110042	00800201100012
o080020110051	00800201100014
o080020110061	00800201100016
o080020110071 o080020110072	00800201100018
o080020110081	00800201100020
o080020110091	00800201100022
o080020110101	00800201100024
o080020110111	00800201100026
o080020110121 o080020110122	00800201100028
o080020110131	00800201100030
o080020110141	00800201100032
o080020110151 o080020110152	00800201100034
o080020110161	00800201100036
o080020110162	00800201100038
o080020110171 o080020110172	00800201100040
o080020110181	00800201100042
o080020110182 o080020110183	00800201100044
o080020110191	00800201100046
o080020110192	00800201100048
o080020110201 o080020110202	00800201100050
o080020110211	00800201100052
o080020110212	00800201100054
o080020110221	00800201100056
o080020110231	00800201100058
o080020110241	00800201100060
o080020110251	00800201100062
o080020110261	00800201100064
o080020110271	00800201100066
o080020110281	00800201100068
o080020120011	00800201200002
o080020120021	00800201200004
o080020120031 o080020120032	00800201200006
o080020120041	00800201200008
o080020120042	00800201200010
o080020120051 o080020120052	00800201200012
o080020120061	00800201200014
o080020120071	00800201200016
o080020120072	00800201200018
o080020120081	00800201200020
o080020120091	00800201200022
o080020120101	00800201200024
o080020120111	00800201200026
o080020120121	00800201200028
o080020120131	00800201200030
o080020120132	00800201200032
o080020120141	00800201200034
o080020120151 o080020120152	00800201200036
o080020130011	00800201300002
o080020130012	00800201300004
o080020130021	00800201300006
o080020130031	00800201300008
o080020130041	00800201300010
o080020130042 o080020130043	00800201300012
o080020130051 o080020130052	00800201300014
o080020130061	00800201300016
o080020130071 o080020130072	00800201300018
o080020130081	00800201300020
o080020130082	00800201300022
o080020130091	00800201300024
o080020130101	00800201300026
o080020130111	00800201300028
o080020130121 o080020130122	00800201300030
o080020130131	00800201300032
o080020130132	00800201300034
o080020130141	00800201300036
o080020130151	00800201300038
o080020130161	00800201300040
o080020130162	00800201300042
o080020130171 o080020130172	00800201300044
o080020140011	00800201400002
o080020140012	00800201400004
o080020140021 o080020140022	00800201400006
o080020140031	00800201400008
o080020140041	00800201400010
o080020140042	00800201400012
o080020140051	00800201400014
o080020140052	00800201400016
o080020140061	00800201400018
o080020140071	00800201400020
o080020140081	00800201400022
o080020140082	00800201400024
o080020140091	00800201400026
o080020140101	00800201400028
o080020140102	00800201400030
o080020140111	00800201400032
o080020140112	00800201400034
o080020140121 o080020140122	00800201400036
o080020140131	00800201400038
o080020140132	00800201400042
o080020140141	00800201400044
o080020140142	00800201400046
o080020140151	00800201400048
o080020140152	00800201400050
o080020140161	00800201400052
o080020140162	00800201400054
o080020140171	00800201400056
o080020140172	00800201400058
o080020140181 o080020140182	00800201400060
o080020140191	00800201400062
o080020140201	00800201400064
o080020140202	00800201400066
o080020140211	00800201400068
o080020140212	00800201400070
o080020140221	00800201400072
o080020140222	00800201400074
o080020150011	00800201500002
o080020150012	00800201500004
o080020150021	00800201500006
o080020150022	00800201500008
o080020150031	00800201500010
o080020150032	00800201500012
o080020150041	00800201500014
o080020150051	00800201500016
o080020150061 o080020150062	00800201500018
o080020150071	00800201500020
o080020150072	00800201500022
o080020150081	00800201500024
o080020150091	00800201500026
o080020150101	00800201500028
o080020150102	00800201500030
o080020150111	00800201500032
o080020150121	00800201500034
o080020150122	00800201500036
o080020150131 o080020150132	00800201500038
o080020160011	00800201600002
o080020160012	00800201600004
o080020160021	00800201600006
o080020160031	00800201600008
o080020160041 o080020160042	00800201600010
o080020160051	00800201600012
o080020160061	00800201600014
o080020160062	00800201600016
o080020160071	00800201600018
o080020160072	00800201600020
o080020160081	00800201600022
o080020160082	00800201600024
o080020160091	00800201600026
o080020160092	00800201600028
o080020160101	00800201600030
o080020160111 o080020160112	00800201600032
o080020170011	00800201700002
o080020170012	00800201700004
o080020170021	00800201700006
o080020170022	00800201700010
o080020170031	00800201700012
o080020170041	00800201700014
o080020170042	00800201700016
o080020170051	00800201700018
o080020170052	00800201700020
o080020170061	00800201700022
o080020170071	00800201700024
o080020170081	00800201700026
o080020170091	00800201700028
o080020170092	00800201700030
o080020170101	00800201700032
o080020170102	00800201700034
o080020170111	00800201700036
o080020180011	00800201800002
o080020180012	00800201800004
o080020180021	00800201800006
o080020180022	00800201800008
o080020180031	00800201800010
o080020180032	00800201800012
o080020180041	00800201800014
o080020180042	00800201800016
o080020180051 o080020180052	00800201800018
o080020180061	00800201800020
o080020180071	00800201800022
o080020180081	00800201800024
o080020180091	00800201800026
o080020180092	00800201800028
o080020180101	00800201800030
o080020180102	00800201800032
o080020180111 o080020180112	00800201800034
o080020180121	00800201800036
o080020180131	00800201800038
o080020180141	00800201800040
o080020180151	00800201800042
o080020180152 o080020180153	00800201800044
o080020190011	00800201900002
o080020190012	00800201900004
o080020190021 o080020190022	00800201900006
o080020190031 o080020190032	00800201900008
o080020190041	00800201900010
o080020190051	00800201900012
o080020190061	00800201900014
o080020190062	00800201900016
o080020190071	00800201900018
o080020190072	00800201900020
o080020190081	00800201900022
o080020190091	00800201900024
o080020190101 o080020190102	00800201900026
o080020190111	00800201900028
o080020190121	00800201900030
o080020190122	00800201900032
o080020190131	00800201900034
o080020190132 o080020190133	00800201900036
o080020190141	00800201900038
o080020190151	00800201900040
o080020190161	00800201900042
o080020190171 o080020190172	00800201900044
o080020190181	00800201900046
o080020190182	00800201900048
o080020190191	00800201900050
o080020190201	00800201900052
o080020190202	00800201900054
o080020190211	00800201900056
o080020190221	00800201900058
o080020190231 o080020190232	00800201900060
o080020190241	00800201900062
o080020190242	00800201900064
o080020190251	00800201900066
o080020200011	00800202000002
o080020200012	00800202000004
o080020200021	00800202000006
o080020200031	00800202000008
o080020200032 o080020200033	00800202000010
o080020200041	00800202000012
o080020200051	00800202000014
o080020200061	00800202000016
o080020200062	00800202000018
o080020200071	00800202000020
o080020200081	00800202000022
o080020200091	00800202000024
o080020200101 o080020200102	00800202000026
o080020200111	00800202000028
o080020200121	00800202000030
o080020200122	00800202000032
o080020200131	00800202000034
o080020200132	00800202000036
o080020200141	00800202000038
o080020200142	00800202000040
o080020200151	00800202000042
o080020200152	00800202000044
o080020200161 o080020200162	00800202000046
o080020200171	00800202000048
o080020200181	00800202000050
o080020200191 o080020200192	00800202000052
o080020200201	00800202000054
o080020200202	00800202000056
o080020200211	00800202000058
o080020200212 o080020200213	00800202000060
o080020200221	00800202000062
o080020210011	00800202100002
o080020210012	00800202100004
o080020210021	00800202100006
o080020210031	00800202100008
o080020210032	00800202100010
o080020210041	00800202100012
o080020210051	00800202100014
o080020210061	00800202100016
o080020210071 o080020210072	00800202100018
o080020210081	00800202100020
o080020210091	00800202100022
o080020210092	00800202100024
o080020210101	00800202100026
o080020210111 o080020210112	00800202100028
o080020210121 o080020210122	00800202100030
o080020210131	00800202100032
o080020210141	00800202100034
o080020210151	00800202100036
o080020210161	00800202100038
o080020210171	00800202100040
o080020210181	00800202100042
o080020210182	00800202100044
o080020210191	00800202100046
o080020210201 o080020210202	00800202100048
o080020220011	00800202200002
o080020220012	00800202200004
o080020220021	00800202200006
o080020220031	00800202200008
o080020220041	00800202200010
o080020220051 o080020220052	00800202200012
o080020220061	00800202200014
o080020220071 o080020220072	00800202200016
o080020220081	00800202200018
o080020220091	00800202200020
o080020220101	00800202200022
o080020220111 o080020220112	00800202200024
o080020220121	00800202200026
o080020220122	00800202200028
o080020220131	00800202200030
o080020220141 o080020220142	00800202200032
o080020220151	00800202200034
o080020220152	00800202200036
o080020220161	00800202200038
o080020230011	00800202300002
o080020230012	00800202300004
o080020230021	00800202300006
o080020230022	00800202300008
o080020230031	00800202300010
o080020230041	00800202300012
o080020230042	00800202300014
o080020230051	00800202300016
o080020230061	00800202300018
o080020230071	00800202300020
o080020230081	00800202300022
o080020230082	00800202300024
o080020230091	00800202300026
o080020230092	00800202300028
o080020230101	00800202300030
o080020230102	00800202300032
o080020230111	00800202300034
o080020230112	00800202300036
o080020230121	00800202300038
o080020230131 o080020230132	00800202300040
o080030010011	00800300100002
o080030010012	00800300100004
o080030010021 o080030010022	00800300100006
o080030010031	00800300100008
o080030010041 o080030010042	00800300100010
o080030010051 o080030010052	00800300100012
o080030010061	00800300100014
o080030010062	00800300100016
o080030010071	00800300100018
o080030010081 o080030010082	00800300100020
o080030010091	00800300100022
o080030010101	00800300100024
o080030010111	00800300100026
o080030010121 o080030010122	00800300100028
o080030020011	00800300200002
o080030020012	00800300200004
o080030020021	00800300200006
o080030020022	00800300200008
o080030020031	00800300200010
o080030020041 o080030020042	00800300200012
o080030020051	00800300200014
o080030020061	00800300200016
o080030020071	00800300200018
o080030020081 o080030020082	00800300200020
o080030020091	00800300200022
o080030020101	00800300200024
o080030020111	00800300200026
o080030020121	00800300200028
o080030020131	00800300200030
o080030020141	00800300200032
o080030020142	00800300200034
o080030020151	00800300200036
o080030020152	00800300200038
o080030030011	00800300300002
o080030030012	00800300300004
o080030030021	00800300300006
o080030030022	00800300300008
o080030030031	00800300300010
o080030030032	00800300300012
o080030030051 o080030030052	00800300300016
o080030030061 o080030030062	00800300300018
o080030030081	00800300300024
o080030030082	00800300300026
o080030030091	00800300300028
o080030030092	00800300300030
o080030030101	00800300300032
o080030030111	00800300300034
o080030030121	00800300300036
o080030030122	00800300300040
o080030030131	00800300300042
o080030030141 o080030030142	00800300300044
o080030030151	00800300300046
o080030030152	00800300300048
o080030030161	00800300300050
o080030030162	00800300300052
o080030030163	00800300300054
o080030040011	00800300400002
o080030040012	00800300400004
o080030040021	00800300400006
o080030040022 o080030040023	00800300400008
o080030040031	00800300400010
o080030040032	00800300400012
o080030040041	00800300400014
o080030040051	00800300400016
o080030040052	00800300400018
o080030040061	00800300400020
o080030040071	00800300400022
o080030040081	00800300400024
o080030040091	00800300400026
o080030040092	00800300400028
o080030040101	00800300400030
o080030040102	00800300400032
o080030040111 o080030040112	00800300400034
o080030040131	00800300400040
o080030040132	00800300400042
o080030040141	00800300400044
o080030040142	00800300400046
o080030040151	00800300400048
o080030040161 o080030040162	00800300400050
o080030040171	00800300400052
o080030040181	00800300400054
o080030040191 o080030040192	00800300400056
o080030050011	00800300500002
o080030050012	00800300500004
o080030050021 o080030050022	00800300500006
o080030050031	00800300500008
o080030050041	00800300500010
o080030050051	00800300500012
o080030050061 o080030050062	00800300500016
o080030050071	00800300500018
o080030060011	00800300600002
o080030060012	00800300600004
o080030060021	00800300600006
o080030060022	00800300600008
o080030060031	00800300600010
o080030060032	00800300600012
o080030060041	00800300600014
o080030060042	00800300600016
o080030060051	00800300600018
o080030060061 o080030060062	00800300600020
o080030060071 o080030060072	00800300600022
o080030070011	00800300700002
o080030070012	00800300700004
o080030070021	00800300700006
o080030070031	00800300700008
o080030070032	00800300700010
o080030070041	00800300700012
o080030070042	00800300700014
o080030070051 o080030070052	00800300700016
o080030070061	00800300700018
o080030070062	00800300700020
o080030070071	00800300700022
o080030070072	00800300700024
o080030070081	00800300700026
o080030070082	00800300700028
o080030070091	00800300700030
o080030070092	00800300700032
o080030070101	00800300700034
o080030070102	00800300700036
o080030070111	00800300700038
o080030070112	00800300700042
o080030070121	00800300700044
o080030070122	00800300700046
o080030070131 o080030070132	00800300700048
o080030070141	00800300700050
o080030070142	00800300700052
o080030080011	00800300800002
o080030080012	00800300800004
o080030080021	00800300800006
o080030080022	00800300800008
o080030080031	00800300800010
o080030080032	00800300800012
o080030080041	00800300800014
o080030080042	00800300800016
o080030080051	00800300800018
o080030080052	00800300800020
o080030080061	00800300800022
o080030080062	00800300800024
o080030080071	00800300800026
o080030080072	00800300800028
o080030080081	00800300800030
o080030080091	00800300800032
o080030080101 o080030080102	00800300800034
o080030090011	00800300900002
o080030090012	00800300900004
o080030090021	00800300900006
o080030090031	00800300900008
o080030090041	00800300900010
