MACULA_IDs	MARBLE_IDs
o010010150021	00100101500006
o010010150022	00100101500008
o010010150031	00100101500010
o010010150032	00100101500012
o010010150041	00100101500014
o010010150042	00100101500016
o010010150051	00100101500018
o010010150052	00100101500020
o010010150061	00100101500022
o010010150071	00100101500024
o010010150072	00100101500026
o010010150081	00100101500028
o010010150082	00100101500030
o010010150091	00100101500032
o010010160011	00100101600002
o010010160012	00100101600004
o010010160021	00100101600006
o010010160031	00100101600008
o010010160041	00100101600010
o010010160051	00100101600012
o010010160052	00100101600014
o010010160061	00100101600016
o010010160062	00100101600018
o010010160071	00100101600020
o010010160081	00100101600022
o010010160082	00100101600024
o010010160091	00100101600026
o010010160092	00100101600028
o010010160101	00100101600030
o010010160102	00100101600032
o010010160111	00100101600034
o010010160112	00100101600036
o010010160121	00100101600038
o010010160122	00100101600040
o010010160131	00100101600042
o010010160132	00100101600044
o010010160141	00100101600046
o010010160142	00100101600048
o010010160151	00100101600050
o010010160152	00100101600052
o010010160161	00100101600054
o010010160162	00100101600056
o010010160171	00100101600058
o010010160172	00100101600060
o010010160181	00100101600062
o010010160182	00100101600064
o010010170011	00100101700002
o010010170012	00100101700004
o010010170021 o010010170022	00100101700006
o010010170031	00100101700008
o010010170041	00100101700010
o010010170042	00100101700012
o010010170051	00100101700014
o010010170052	00100101700016
o010010170061	00100101700018
o010010170062	00100101700020
o010010170071	00100101700022
o010010170081	00100101700024
o010010170082	00100101700026
o010010180011	00100101800002
o010010180012	00100101800004
o010010180013	00100101800006
o010010180021	00100101800008
o010010180022	00100101800012
o010010180031	00100101800014
o010010180032	00100101800016
o010010180033	00100101800020
o010010180041	00100101800022
o010010180042	00100101800024
o010010180043	00100101800026
o010010180051	00100101800028
o010010180061	00100101800030
o010010180062	00100101800032
o010010180071	00100101800034
o010010180072	00100101800036
o010010180081	00100101800038
o010010180082	00100101800040
o010010180091	00100101800042
o010010180092	00100101800044
o010010180101	00100101800046
o010010180111	00100101800048
o010010180121	00100101800050
o010010190011	00100101900002
o010010190012	00100101900004
o010010190021	00100101900006
o010010190031	00100101900008
o010010190032	00100101900010
o010010190041	00100101900012
o010010190051	00100101900014
o010010190061	00100101900016
o010010200011	00100102000002
o010010200012	00100102000004
o010010200021	00100102000006
o010010200031	00100102000008
o010010200041	00100102000010
o010010200042	00100102000012
o010010200051	00100102000014
o010010200061	00100102000016
o010010200071	00100102000018
o010010200081	00100102000020
o010010200082	00100102000022
o010010200091	00100102000024
o010010200101	00100102000026
o010010200111	00100102000028
o010010200112	00100102000030
o010010200121	00100102000032
o010010200131	00100102000034
o010010200141	00100102000036
o010010200151	00100102000038
o010010200152	00100102000040
o010010210011	00100102100002
o010010210012	00100102100004
o010010210021	00100102100006
o010010210031	00100102100008
o010010210041	00100102100010
o010010210042	00100102100012
o010010210051	00100102100014
o010010210052	00100102100016
o010010210061	00100102100018
o010010210062	00100102100020
o010010210071	00100102100022
o010010210081	00100102100024
o010010210091	00100102100026
o010010210092	00100102100028
o010010210101	00100102100030
o010010210102	00100102100032
o010010210111	00100102100034
o010010210121	00100102100036
o010010210131	00100102100038
o010010210132	00100102100040
o010010210141	00100102100042
o010010210142 o010010210143	00100102100044
o010010210151	00100102100046
o010010210152	00100102100048
o010010210161	00100102100050
o010010210171	00100102100052
o010010210181	00100102100054
o010010210191	00100102100056
o010010210192 o010010210193	00100102100058
o010010210201	00100102100060
o010010210202	00100102100062
o010010210211	00100102100064
o010010210221	00100102100066
o010010210231	00100102100068
o010010220011	00100102200002
o010010220012	00100102200004
o010010220021 o010010220022	00100102200006
o010010220031	00100102200008
o010010220041	00100102200010
o010010220042	00100102200012
o010010220051	00100102200014
o010010220061	00100102200016
o010010220062	00100102200018
o010010220071	00100102200020
o010010220072	00100102200022
o010010220081	00100102200024
o010010220091	00100102200026
o010010220092	00100102200028
o010010220101	00100102200030
o010010220102	00100102200034
o010010220111	00100102200036
o010010220112	00100102200038
o010010220113	00100102200040
o010010220121	00100102200042
o010010220131	00100102200044
o010010220132	00100102200048
o010010230011	00100102300002
o010010230012	00100102300004
o010010230021	00100102300006
o010010230031	00100102300008
o010010230032	00100102300010
o010010230041	00100102300012
o010010230051	00100102300014
o010010230061	00100102300016
o010010240011	00100102400002
o010010240012	00100102400004
o010010240021	00100102400006
o010010240031	00100102400008
o010010240041	00100102400010
o010010240042	00100102400012
o010010240051	00100102400014
o010010240061	00100102400016
o010010240071	00100102400018
o010010240072 o010010240073	00100102400020
o010010240081	00100102400022
o010010240091	00100102400024
o010010240092	00100102400026
o010010240101	00100102400028
o010010240102	00100102400030
o010010240111	00100102400032
o010010240121	00100102400034
o010010240122 o010010240123	00100102400036
o010010240131	00100102400038
o010010240132	00100102400040
o010010240141	00100102400042
o010010250011	00100102500002
o010010250012	00100102500004
o010010250021	00100102500006
o010010250031	00100102500008
o010010250041	00100102500010
o010010250051	00100102500012
o010010250052	00100102500014
o010010250061	00100102500016
o010010250062 o010010250063	00100102500018
o010010250071	00100102500020
o010010250072	00100102500022
o010010250081	00100102500024
o010010250082	00100102500026
o010010250091	00100102500028
o010010250092 o010010250093	00100102500030
o010010250101	00100102500032
o010010250102	00100102500034
o010010250111	00100102500036
o010010250121	00100102500038
o010010250131	00100102500040
o010010250132	00100102500042
o010010250141	00100102500044
o010010250142 o010010250143	00100102500046
o010010250151	00100102500048
o010010250152	00100102500050
o010010250161	00100102500052
o010010250171	00100102500054
o010010250181	00100102500056
o010010260011	00100102600002
o010010260012	00100102600004
o010010260021	00100102600006
o010010260031	00100102600008
o010010260041	00100102600010
o010010260051	00100102600012
o010010260052 o010010260053	00100102600014
o010010260061	00100102600016
o010010260062 o010010260063	00100102600018
o010010260071	00100102600020
o010010260072	00100102600022
o010010260081	00100102600024
o010010260082	00100102600026
o010010260091	00100102600028
o010010260092	00100102600030
o010010260101	00100102600032
o010010260102	00100102600034
o010010260103	00100102600036
o010010260111	00100102600038
o010010260112	00100102600040
o010010260121	00100102600042
o010010260122	00100102600044
o010010260123	00100102600048
o010010260131	00100102600050
o010010260132	00100102600052
o010010260133	00100102600054
o010010260141	00100102600056
o010010260142	00100102600058
o010010260151	00100102600060
o010010260152	00100102600062
o010010260153	00100102600064
