010010090112	יַּבָּשָׁ֑ה	dry land	旱地
010010090121	וַֽ	and	就
010010090122	יְהִי־	was	成
010010090131	כֵֽן	so	这样
010010100011	וַ	and	就
010010100012	יִּקְרָ֨א	called	称~为
010010100021	אֱלֹהִ֤ים ׀	God	神/上帝
010010100031	לַ	to	对
010010100032		the	
010010100033	יַּבָּשָׁה֙	dry land	旱地
010010100041	אֶ֔רֶץ	earth	地
010010100051	וּ	and	而
010010100052	לְ	that	
010010100053	מִקְוֵ֥ה	gathering	聚集在一起
010010100061	הַ	the	
010010100062	מַּ֖יִם	waters	水
010010100071	קָרָ֣א	called	称~为
010010100081	יַמִּ֑ים	seas	海
010010100091	וַ	and	
010010100092	יַּ֥רְא	saw	看
010010100101	אֱלֹהִ֖ים	God	神/上帝
010010100111	כִּי־	that	是~的
010010100121	טֽוֹב	good	好
010010110011	וַ	then	又
010010110012	יֹּ֣אמֶר	said	说
010010110021	אֱלֹהִ֗ים	God	神/上帝
010010110031	תַּֽדְשֵׁ֤א	produce	长出
010010110041	הָ	the	
010010110042	אָ֙רֶץ֙	earth	地
010010110051	דֶּ֔שֶׁא	vegetation	植物
010010110061	עֵ֚שֶׂב	plants	菜蔬
010010110071	מַזְרִ֣יעַ	yielding	结
010010110081	זֶ֔רַע	seed	种子
010010110091	עֵ֣ץ	trees	树
010010110101	פְּרִ֞י	fruit	果子
010010110111	עֹ֤שֶׂה	bearing	结
010010110121	פְּרִי֙	fruit	果子
010010110131	לְ	according to	
010010110132	מִינ	kind	各种
010010110133	֔וֹ	their	
010010110141	אֲשֶׁ֥ר	which	
010010110151	זַרְע	seed	种子
010010110152	וֹ־	their	其
010010110161	ב	in	里
010010110162	֖וֹ	it	其
010010110171	עַל־	on	在
010010110181	הָ	the	
010010110182	אָ֑רֶץ	earth	地上
010010110191	וַֽ	and	就
010010110192	יְהִי־	was	成
010010110201	כֵֽן	so	这样
010010120011	וַ	and	于是
010010120012	תּוֹצֵ֨א	brought forth	长出
010010120021	הָ	the	
010010120022	אָ֜רֶץ	earth	地
010010120031	דֶּ֠שֶׁא	vegetation	植物
010010120041	עֵ֣שֶׂב	plants	菜蔬
